name,ansprechpartner_name,ansprechpartner_rolle,adresse,plz,ort,bundesland,bezirk_region,telefon,fax,email,website,google_maps,branche,kategorie,verbrauchspotenzial,datum_gefunden,quell_url
Schlütter Oberflächentechnik GmbH,,,,98544,Zella,Thueringen,,03682-88 76-0,,verkauf@schluetter-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Schl%C3%BCtter%20Oberfl%C3%A4chentechnik%20GmbH%20%2098544%20Zella,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/zella_mehlis_schluetter_oberflaechentechnik_gmbh.htm
Carl Klophaus GmbH & Co. KG,,,,58332,Schwelm,Nordrhein-Westfalen,,02336-93 86-0,,info@mck-schwelm.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Carl%20Klophaus%20GmbH%20%26%20Co.%20KG%20%2058332%20Schwelm,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/schwelm_carl_klophaus_gmbh__co_kg.htm
Bredt GmbH,,,,59872,Meschede,Nordrhein-Westfalen,,02903-85 04 94,,Info@Bredt-Galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Bredt%20GmbH%20%2059872%20Meschede,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/meschede_bredt_gmbh.htm
GAP - Galvanik Puddu GmbH,,,,75449,Wurmberg,Baden-Wuerttemberg,,07044-90 72 8-0,,info@gap-puddu-gmbh.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=GAP%20-%20Galvanik%20Puddu%20GmbH%20%2075449%20Wurmberg,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/wurmberg_gap__galvanik_puddu_gmbh.htm
Karl Heinz Bauer GmbH,,,,75228,Ispringen,Baden-Wuerttemberg,,07231-98 41 91,,info@bauer-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Karl%20Heinz%20Bauer%20GmbH%20%2075228%20Ispringen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/ispringen_karl_heinz_bauer_gmbh.htm
Hubert Altehülshorst GmbH,,,,33397,Rietberg,Nordrhein-Westfalen,Bielefeld,05244-40 59 8-0,,verzinker@altehuelshorst.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Hubert%20Alteh%C3%BClshorst%20GmbH%20%2033397%20Rietberg,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/rietberg_hubert_altehuelshorst_gmbh.htm
Barth Galvanik GmbH,,,,61440,Oberursel,Hessen,Frankfurt,06171-97 27-0,,info@barth-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Barth%20Galvanik%20GmbH%20%2061440%20Oberursel,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/oberursel_barth_galvanik_gmbh.htm
Mundus Oberflächentechnik GmbH,,,,78554,Aldingen,Baden-Wuerttemberg,,07424-98 19 55 6,,info@galvanik-neuhaus.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Mundus%20Oberfl%C3%A4chentechnik%20GmbH%20%2078554%20Aldingen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/aldingen_mundus_oberflaechentechnik_gmbh.htm
Nehlsen Flugzeug-Galvanik Dresden GmbH & Co. KG,,,,01109,Dresden,Sachsen,Dresden,0351-88 31 40 0,,galvanik@nehlsen-dresden.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Nehlsen%20Flugzeug-Galvanik%20Dresden%20GmbH%20%26%20Co.%20KG%20%2001109%20Dresden,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/dresden_nehlsen_flugzeug_galvanik_dresden_gmbh__co.htm
Günter Neunheuser,,,,82205,Gilching,Bayern,Muenchen,08105-8545,,,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=G%C3%BCnter%20Neunheuser%20%2082205%20Gilching,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/gilching_guenter_neunheuser.htm
Ernst Fuchs GmbH & Co. KG,,,,87600,Kaufbeuren,Bayern,Kempten,08341-62 19 1,,werner-dornacher@web.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Ernst%20Fuchs%20GmbH%20%26%20Co.%20KG%20%2087600%20Kaufbeuren,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/kaufbeuren_ernst_fuchs_gmbh__co_kg.htm
SFB-HAGUSTA GmbH,,,,77871,Renchen,Baden-Wuerttemberg,,07843-702-0,,info@hagusta-renchen.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=SFB-HAGUSTA%20GmbH%20%2077871%20Renchen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/renchen_sfb_hagusta_gmbh.htm
C. HAFNER GmbH + Co. KG,,,,75173,Pforzheim,Baden-Wuerttemberg,,07231-92 0-0,,info@c-hafner.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=C.%20HAFNER%20GmbH%20%2B%20Co.%20KG%20%2075173%20Pforzheim,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/pforzheim_c_hafner_gmbh__co_kg.htm
Hensger & Sohn Galvanik GmbH,,,,99510,Apolda,Thueringen,Erfurt,03644-55 58 66,,info@hensger-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Hensger%20%26%20Sohn%20Galvanik%20GmbH%20%2099510%20Apolda,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/apolda_hensger__sohn_galvanik_gmbh.htm
Ander Oberflächenveredelung GmbH,,,,87665,Mauerstetten,Bayern,Kempten,08341-62 40 0,,info@ander-gmbh.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Ander%20Oberfl%C3%A4chenveredelung%20GmbH%20%2087665%20Mauerstetten,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/mauerstetten_ander_oberflaechenveredelung_gmbh.htm
Bock-Installationsbedarf + Galvanisierte Produkte,,,,06792,Sandersdorf,Sachsen-Anhalt,Halle,03493-821144,,,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Bock-Installationsbedarf%20%2B%20Galvanisierte%20Produkte%20%2006792%20Sandersdorf,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/sandersdorf_bock_installationsbedarf__galvanisiert.htm
Fischer Oberflächentechnologie GmbH,,,,56368,Katzenelnbogen,Rheinland-Pfalz,Koblenz,06486-91 30-0,,info@fischer-surface.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Fischer%20Oberfl%C3%A4chentechnologie%20GmbH%20%2056368%20Katzenelnbogen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/katzenelnbogen_fischer_oberflaechentechnologie_gmb.htm
Galvano Wittenstein GmbH,,,,42719,Solingen,Nordrhein-Westfalen,Wuppertal,0212-31 45 07,,kontakt@galvano-wittenstein.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvano%20Wittenstein%20GmbH%20%2042719%20Solingen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/solingen_galvano_wittenstein_gmbh.htm
Reinhold Damm Galvanik GmbH & Co. KG,,,,57439,Attendorn,Nordrhein-Westfalen,Siegen,02722-63 98-0,,info@damm-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Reinhold%20Damm%20Galvanik%20GmbH%20%26%20Co.%20KG%20%2057439%20Attendorn,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/attendorn_reinhold_damm_galvanik_gmbh__co_kg.htm
Bernhard Kothe Galvanische Werkstätten GmbH & Co. KG,,,,31135,Hildesheim,Niedersachsen,Hannover,05121-78 04-0,,info@kothe-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Bernhard%20Kothe%20Galvanische%20Werkst%C3%A4tten%20GmbH%20%26%20Co.%20KG%20%2031135%20Hildesheim,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/hildesheim_bernhard_kothe_galvanische_werkstaetten.htm
Herbert Reinmuth GmbH,,,,63927,Buergstadt,Hessen,Frankfurt/Offenbach,09371-97 61-0,,info@reinmuth-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Herbert%20Reinmuth%20GmbH%20%2063927%20Buergstadt,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/buergstadt_herbert_reinmuth_gmbh.htm
A. Kißling Galvanische Werke GmbH,,,,86356,Neusaess,Bayern,Augsburg,0821-20 79 9-0,,aks@kissling-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=A.%20Ki%C3%9Fling%20Galvanische%20Werke%20GmbH%20%2086356%20Neusaess,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/neusaess_a_kissling_galvanische_werke_gmbh.htm
Schirmer Galvanotechnik GmbH,,,,91126,Kammerstein,Bayern,Nuernberg,09122-79 29-0,,burkert@schirmer-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Schirmer%20Galvanotechnik%20GmbH%20%2091126%20Kammerstein,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/kammerstein_schirmer_galvanotechnik_gmbh.htm
Süss Oberflächentechnik GmbH,,,,35576,Wetzlar,Hessen,Marburg,06441-94 51 0,,info@suess-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=S%C3%BCss%20Oberfl%C3%A4chentechnik%20GmbH%20%2035576%20Wetzlar,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/wetzlar_suess_oberflaechentechnik_gmbh.htm
Galvanik Kreile,,,,60327,Frankfurt,Hessen,Frankfurt,069-73 57 65,,info@galvanik-kreile.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvanik%20Kreile%20%2060327%20Frankfurt,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/frankfurt_am_main_galvanik_kreile.htm
Galvanik Gerwin Lampe,,,,22043,Hamburg,Hamburg,Hamburg,040-67 32 17 6,,Gerwin.Lampe@gmx.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvanik%20Gerwin%20Lampe%20%2022043%20Hamburg,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/hamburg_galvanik_gerwin_lampe.htm
Galvanik Hentschel Dresden,,,,01159,Dresden,Sachsen,Dresden,0351-49 40 35 0,,info@galvanik-hentschel.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvanik%20Hentschel%20Dresden%20%2001159%20Dresden,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/dresden_galvanik_hentschel_dresden.htm
Metallveredelung Bretten GmbH & Co. KG,,,,75015,Bretten,Baden-Wuerttemberg,,07252-95 06-0,,info@mv-bretten.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Metallveredelung%20Bretten%20GmbH%20%26%20Co.%20KG%20%2075015%20Bretten,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/bretten_metallveredelung_bretten_gmbh__co_kg.htm
DELTA Industrietechnik GmbH,,,,42653,Solingen,Nordrhein-Westfalen,Wuppertal,0212-23 39 59 70,,info@delta-industrietechnik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=DELTA%20Industrietechnik%20GmbH%20%2042653%20Solingen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/solingen_delta_industrietechnik_gmbh.htm
GAB Titan GmbH,,,,42655,Solingen,Nordrhein-Westfalen,Wuppertal,0212-81 40 21,,info@gab-titan.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=GAB%20Titan%20GmbH%20%2042655%20Solingen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/solingen_gab_titan_gmbh.htm
SAXONIA Galvanik GmbH,,,,09633,Halsbruecke,Sachsen,Chemnitz,03731-78 24 40,,info@saxonia-galvanik.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=SAXONIA%20Galvanik%20GmbH%20%2009633%20Halsbruecke,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/halsbruecke_saxonia_galvanik_gmbh.htm
Foma-Galvanik AG,,,,,Bilten,,,0041-55 61 52 34 6,,foma.galvanik@bluewin.ch,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Foma-Galvanik%20AG%20%20%20Bilten,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/bilten_gl_foma_galvanik_ag.htm
Jürgen Erhardt e.K.,,,,74722,Buchen,Baden-Wuerttemberg,Heilbronn,06281-52 01-0,,info@erhardt-erko.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=J%C3%BCrgen%20Erhardt%20e.K.%20%2074722%20Buchen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/buchen_odenwald_juergen_erhardt_e_k_.htm
Huber Plastic GmbH & Co. KG,,,,75045,Walzbachtal,Baden-Wuerttemberg,,07203-91 36-0,,info@huber-plastic.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Huber%20Plastic%20GmbH%20%26%20Co.%20KG%20%2075045%20Walzbachtal,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/walzbachtal_huber_plastic_gmbh__co_kg.htm
Schornberg Galvanik GmbH,,,,59557,Lippstadt,Nordrhein-Westfalen,,02941-28 59-0,,info@schornberg.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Schornberg%20Galvanik%20GmbH%20%2059557%20Lippstadt,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/lippstadt_schornberg_galvanik_gmbh.htm
Galvano Ilberstedt GmbH,,,,06408,Ilberstedt,Sachsen-Anhalt,Halle,03471-36 15-0,,info@galvano-online.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvano%20Ilberstedt%20GmbH%20%2006408%20Ilberstedt,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/ilberstedt_galvano_ilberstedt_gmbh.htm
Gleier Galvanik GmbH,,,,12047,Berlin,Berlin,Berlin,030-69 34 17 6,,info@gleier-galvanik.com,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Gleier%20Galvanik%20GmbH%20%2012047%20Berlin,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/berlin_gleier_galvanik_gmbh.htm
Galvanik König,,,,09114,Chemnitz,Sachsen,Chemnitz,0371-47 91 09 5,,galvanik-koenig@gmx.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvanik%20K%C3%B6nig%20%2009114%20Chemnitz,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/chemnitz_galvanik_koenig.htm
Cours GmbH & Co. KG,,,,42551,Velbert,Nordrhein-Westfalen,Wuppertal,02051-28 13-0,,mail@cccours.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Cours%20GmbH%20%26%20Co.%20KG%20%2042551%20Velbert,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/velbert_cours_gmbh__co_kg.htm
GALVANO-FISCHER,,,,42857,Remscheid,Nordrhein-Westfalen,Wuppertal,02191-71 08 1,,j.fischer@galvano-fischer.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=GALVANO-FISCHER%20%2042857%20Remscheid,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/remscheid_galvano_fischer.htm
Detlef Bingen GmbH,,,,40764,Langenfeld,Nordrhein-Westfalen,Duesseldorf,02173-97 31 52 0,,joachimbingen@galvanobingen.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Detlef%20Bingen%20GmbH%20%2040764%20Langenfeld,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/langenfeld_detlef_bingen_gmbh.htm
Galvanic Mäder AG,,,,,Zuerich,,,+41-(0)44-43 14 44 5,,impressum@galvanic-maeder.ch,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Galvanic%20M%C3%A4der%20AG%20%20%20Zuerich,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/zuerich_galvanic_maeder_ag.htm
Detlef Janke,,,,14163,Berlin,Brandenburg,Berlin/Potsdam,030-80 99 74-0,,info@janke-berlin.de,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Detlef%20Janke%20%2014163%20Berlin,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/berlin_detlef_janke.htm
Rauch Kunststoff- & Galvanotechnik GmbH,,,,83620,Feldkirchen,Bayern,Rosenheim,08063-20 71 9-0,,info@rauch-gmbh.com,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Rauch%20Kunststoff-%20%26%20Galvanotechnik%20GmbH%20%2083620%20Feldkirchen,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/feldkirchen_westerham_rauch_kunststoff__galvanotec.htm
Iten Galvanik AG,,,,,Rudolfstetten,,,+41(0)56-63 34 34 3,,info@iten-galvanik.ch,http://www.Galvanik.info,https://www.google.com/maps/search/?api=1&query=Iten%20Galvanik%20AG%20%20%20Rudolfstetten,Galvanik,Oberflaechentechnik,Sehr hoch >1 Mio kWh,2026-02-24,http://www.galvanik.info/firmen/rudolfstetten_iten_galvanik_ag.htm
